PubMed_IDs_TP,PMC_IDs_TP
"38257172, 38255320, 38255150, 38248835, 38231408, 38230664, 38224533, 38203747, 38203712, 38191834, 38190238, 38189580, 38181823, 38172977, 38168138, 38163708, 38163085, 38158691, 38156400, 38151490","10794567, 10762267, 10754321, 10709869, 10705314, 10703902, 10774565, 10743160, 10731872, 10691277, 10605552, 10545798, 10531437, 10521530, 10468534, 10436604, 10378711, 10375641, 10367919, 10333929, 10380532, 8678303, 8454845, 10800824, 10800726, 10799515, 10799425, 10798368, 10797874, 10797383, 10796786, 10794567, 10794540, 10794270, 10792964, 10792488, 10790703, 10790275, 10789445, 10787430, 10784456, 10782074, 10781725"
"38254421, 38244228, 38215548, 38213028, 38188657, 38163079, 38150375, 38129980, 38094746, 38023938, 38001079, 37956179, 37909753, 37833947, 37821626, 37638727, 37550406, 37517614, 37330830, 37329112, 38254421, 38244228, 38215548, 38213028, 38188657, 38163079, 38150375, 38129980, 38106357, 38094746, 38088962, 38029200, 38027226, 38023938, 38009924, 38001079, 37974247, 37961388, 37956179, 37909753","10802069, 10801906, 10800207, 10798368, 10798254, 10798119, 10797958, 10795779, 10794282, 10792652, 10788077, 10788067, 10787599, 10786625, 10785380, 10783044, 10782140, 10781708, 10781618, 10780800, 10787745, 10731278, 10778862, 10646141, 10597556, 10586263, 10150327, 10061081, 9992544, 9926847, 10200898, 10031984, 10007383, 9996804, 9739508, 9649726, 9571057, 9499605, 9417761, 9331524, 10802926, 10802798, 10802212, 10802129, 10802103, 10802089, 10802069, 10802055, 10801996, 10801926, 10801906, 10801839, 10801816, 10801578, 10801516, 10801371, 10801335, 10801329, 10801281, 10801261"
"37967555, 36715169, 36674937, 35185872, 34732258, 34203196, 34021796, 33931271, 31843928, 31325428, 31004013, 30814299, 30792823, 28168224, 34021796, 32513301, 31010817","10744591, 10698595, 10800076, 10785442, 10767327, 10750207, 10679229, 10598050, 10588787, 10583379, 10515066, 10410973, 10682792, 10660546, 10216699, 10605194, 10555786, 10537330, 10542650, 10456921, 10802969, 10802577, 10802228, 10802069, 10801996, 10801906, 10801599, 10801581, 10801555, 10801329, 10801195, 10801034, 10801024, 10801022, 10800980, 10800956, 10800846, 10800808, 10800657, 10800556"
"38130997, 36893854, 36531991, 36269840, 34875227, 30157405, 29981781, 29798856, 22442383","10795342, 10789627, 10783816, 10779569, 10779485, 10778288, 10771827, 10762195, 10760320, 10760059, 10758425, 10755466, 10749918, 10747646, 10745914, 10744674, 10742945, 10742510, 10741843, 10730217"
"38084837, 37578396, 37167706, 35720495, 35169117, 35158099, 34977371, 34700029, 34549599, 34467981, 34289550, 34160355, 33906557, 33838572, 33767593, 33541282, 33290721, 33217450, 33141758, 32978808, 38251707, 38247538, 38235691, 38231482, 38224563, 38176135, 38161383, 38136224, 38116552, 38103512, 38078655, 38069446, 38030696, 38030136, 37996004, 37978573, 37967787, 37947686, 37934790, 37891900","10764629, 10722290, 10566198, 10242055, 10179114, 9963870, 9709273, 9697263, 9693486, 9588659, 9100503, 9010389, 8773010, 8708753, 7290253, 8454868, 6800600, 7065453, 4669991, 4070608, 10784627, 10764629, 10689341, 10745123, 10722290, 10711040, 10636852, 10626288, 10625343, 10441558, 10340833, 10669507, 10647620, 10303864, 10258567, 10242055, 10565380, 10517027, 10401444, 10383074"
32615090,"10803162, 10803024, 10802804, 10802160, 10802101, 10802069, 10802051, 10801996, 10801964, 10801814, 10801200, 10801022, 10800916, 10800898, 10800854, 10800846, 10800840, 10800832, 10800778, 10800485, 10801004, 10800207, 10797890, 10796647, 10794705, 10792039, 10791622, 10790651, 10778654, 10778177, 10773790, 10769453, 10768885, 10768369, 10767926, 10766395, 10761120, 10758425, 10757041, 10746218"
,"10472646, 10803070, 10802914, 10802843, 10802793, 10801599, 10801004, 10800976, 10800970, 10800968, 10800824, 10800505, 10800401, 10800116, 10799913, 10799430, 10799112, 10798966, 7615547, 10797874, 10796578"
"37870244, 37470692, 35530162, 35449204, 35069696, 34286518, 33122847, 33039730, 32587776, 32212793, 31117253, 31115521, 31113936, 31113922, 30663221, 28950390, 27138804, 25895606, 25797247, 25647738, 34913280, 34826601, 33310890, 33122847, 32913197, 32276600, 32189414, 32156781, 32081857, 31662324, 30668360, 30663221, 29360439, 28765329, 28686074, 28522751, 27903966, 27431492, 27336608, 27015562, 32913197, 25564254, 23243017, 20227039","10786441, 10778008, 10773190, 10758892, 10756472, 10753630, 10744584, 10724236, 10721983, 10704102, 10693369, 10796744, 10780704, 10767481, 10766800, 10725532, 10712774, 10702265, 10697495, 10691136, 10796816, 10794555, 10789753, 10786415, 10782923, 10781985, 10780623, 10779588, 10778817, 10778542, 10778210, 10778019, 10774320, 10768046, 10767201, 10766653, 10765515, 10763075, 10760102, 10755504"
"37932372, 33259205, 32951817, 32943788, 27076635, 26604261, 26299961, 25739981, 25073739, 24677795, 37932372, 37832807, 36239538, 34975788, 34531089, 34419450, 33563785, 33508040, 33259205, 32123090, 28031489, 27482742, 27138431, 27076635, 26787847, 25301945, 25073739, 24677795, 24507752, 24274060, 33259205","10802798, 10802158, 10801458, 10801329, 10801111, 10800916, 10800778, 10800390, 10800310, 10800157, 10799955, 10799553, 10799464, 10799412, 10799341, 10798365, 10798145, 10797890, 10797776, 10797727, 10803162, 10801906, 10801670, 10801499, 10801385, 10801245, 10801200, 10801111, 10801044, 10801022, 10800916, 10800910, 10800802, 10800390, 10800374, 10800300, 10800207, 10800157, 10799955, 10799902"
"32619440, 31569518","10802810, 10801662, 10801555, 10801200, 10801024, 10800980, 10800956, 10800910, 10800556, 10800451, 10800401, 10800390, 10800374, 10800370, 10800207, 10800110, 10800073, 10799947, 10799855, 10799778, 10802212, 10800550, 10796827, 10794014, 10792175, 10790450, 10790212, 10789445, 10784114, 10783424, 10778545, 10778523, 10773855, 10772529, 10771654, 10768935, 10750280, 10757218, 10751935, 10748144"
32823573,"10800928, 10800207, 10786183, 10766654, 10763321, 10759424, 10750682, 10748388, 10732042, 10722681, 10719858, 10717641, 10715677, 10706647, 10705738, 10698143, 10694658, 10689131, 10799395, 10797689, 10800928, 10800207, 10799693, 10786183, 10776878, 10770899, 10769474, 10766654, 10759424, 10758524, 10758507, 10758453, 10750682, 10722681, 10719858, 10717641, 10715920, 10715677, 10706647, 10698953"
32205883,"10799412, 10798900, 10797890, 10797485, 10794738, 10791627, 10791616, 10790752, 10790697, 10789680, 10785708, 10784543, 10782538, 10780804, 10780176, 10778654, 10778076, 10773633, 10773572, 10772641, 10802228, 10800808, 10800778, 10799925, 10799778, 10797776, 10797485, 10794557, 10791616, 10790785, 10788479, 10783097, 10782069, 10779485, 10778935, 10776634, 10776621, 10774192, 10774093, 10773633"
33382950,"10802212, 10790450, 10790212, 10785269, 10747579, 10745356, 10741778, 10716031, 10802034, 10801515, 10754134, 10752015, 10748411, 10733583, 10732047, 10731169, 10705678, 10697095, 10692397, 10685641"
35650232,"10800207, 10794557, 10785269, 10779569, 10778851, 10770264, 10758054, 10749881, 10729361, 10723274, 10715687, 10714298, 10706944, 10703311, 10700148, 10697693, 10692654, 10688819, 10800801, 10800223"
,"10801988, 10801856, 10801243, 10800980, 10800846, 10800726, 10800666, 10800605, 10800392, 10800390, 10800298, 10800207, 10800157, 10799947, 10799925, 10799412, 10799404, 10799341, 10799292, 10798900, 10793686, 10749762, 10734493, 10696028, 10777064, 10709749, 10704913, 10671666, 10628233, 10599642, 10477591, 10337137, 10242440, 10511952, 10414638, 10383262, 10334131, 10242102, 10174259, 10169812"
"38057706, 37933481, 37480336, 37424334, 37384590, 37242222, 37184522, 36860489, 36843227, 36275061, 36089004, 35782134, 35643532, 35372104, 35071037, 34991497, 34630385, 34206629, 33767128, 32987285, 38217406, 38189273, 38167140, 38014964, 38004243, 37907561, 37845612, 37803605, 37741825, 37652940, 37424334, 37327780, 37242222, 37184522, 37169786, 37122152, 37001916, 36876780, 36860489, 36843227","10800994, 10318530, 10334563, 10105735, 10097931, 9317776, 8898355, 8640817, 7946422, 10768089, 10762336, 10762216, 10760796, 10755970, 10747248, 10731827, 10728077, 10700110, 10800994, 10799346, 10786697, 10773921, 10773124, 10757115, 10699061, 10658085, 10654091, 10649913, 10637962"
,"10793722, 10797044, 10795342, 10792199, 10779569, 10779485, 10771827, 10767240, 10764071, 10759990, 10755466, 10749918, 10746064, 10742510, 10741940, 10741843, 10741487, 10732203, 10731685, 10730217, 10802668, 10801992, 10800922, 10799263, 10797044, 10796427, 10795328, 10794618, 10793556, 10793328, 10791874, 10789613, 10788479, 10787497, 10786237, 10783801, 10783704, 10783462, 10783071, 10781591"
,"10801670, 10800846, 10800828, 10800370, 10799070, 10796403, 10794214, 10792976, 10792172, 10792057, 10791791, 10790049, 10789937, 10788812, 10788623, 10788067, 10786282, 10785263, 10784177, 10783205, 10802573, 10801966, 10801642, 10801004, 10800968, 10800824, 10800820, 10800505, 10800401, 10800382, 10800358, 10800091, 10800041, 10799902, 10799433, 10799430, 10799425, 10799351, 10799143, 10799120"
"34006895, 31463653, 30906666, 30852164, 25950488, 20930504","10506740, 8384187, 7393571, 5831611, 3723557, 10770843, 10740584, 10740468, 10698811, 10695944, 10691071, 10784854, 10774587, 10677694, 10615587, 10602672, 10589377, 10509995, 10510307, 10506954, 10495941, 10445337, 10390090, 10680608, 8606763, 10785661, 10779635, 10755971, 10742246, 10740584, 10695944, 10774587, 10716015, 10673005, 10669336, 10481559, 10479211, 10419851, 10308373, 10610205, 10603928, 10525830, 10516668, 10459546, 10457599"
"38228690, 38194267, 38177117, 38172511, 38136298, 38039379, 38023563, 37867244, 37783390, 37758653, 37657445, 37654972, 37612043, 37600811, 37553896, 37543704, 37464955, 37178367, 36993772, 36939388","10797784, 10797509, 10794017, 10793145, 10792261, 10787786, 10786400, 10784969, 10782214, 10779015, 10774906, 10765587, 10764480, 10762872, 10757360, 10752988, 10749996, 10745858, 10745134, 10745028, 10802533, 10801489, 10800824, 10800509, 10800505, 10800401, 10799947, 10799834, 10798370, 10798041, 10796567, 10795779, 10795475, 10794746, 10794235, 8772398, 10793199, 10792703, 10792057, 10792043"
"38135009, 38064235, 38049505, 38014105, 38010429, 37922649, 37918651, 37838514, 37788844, 37545316, 37498792, 37498787, 37468955, 37455690, 37201681, 37150300, 37005047, 36983854, 36958889, 36705797","10797400, 10772200, 10757894, 10754561, 10733488, 10712182, 10706342, 10706243, 10694262, 10800268, 10799653, 10799644, 10798484, 10781886, 10760710, 10758229, 10754621, 10752492, 10748565, 10745980, 8678279"
"37875043, 33436641, 32810393, 27349976, 10510357","10705671, 10662041, 10617243, 10482380, 10470868, 10507020, 10197239, 10100740, 9887734, 9886688, 9856405, 9855674, 9638851, 9410360, 9430243, 9040589, 8932566, 8941000, 8534011, 8472831, 10794557, 10675043, 10662041, 10499267, 10470868, 10409746, 10681327, 10507020, 10305517, 10197239, 10005057, 9991351, 9980611, 9961083, 10179357, 10146858, 10100740, 10062696, 10014078, 9915576"
"38053550, 37985238, 37942687, 37940330, 37894951, 37453492, 37154337, 36364738, 36068389, 35704120, 35266814, 34878098, 34851167, 34687291, 33566238, 32366032, 30782206","10763947, 10743746, 10715087, 10734416, 10662143, 10458427, 10653868, 10434160, 10433963, 10433868, 10265600, 10203365, 10172325, 10100756, 9998046, 9927453, 10102598, 9879109, 9858301, 9723798, 10801462, 10800966, 10800491, 10798636, 10797064, 10797042, 10796079, 10794740, 10794557, 10793177, 10790753, 10790702, 10789242, 10788854, 10785380, 10783141, 10783112, 10781979, 10780934, 10780904"
"31681563, 31607540, 30550822, 29259703, 23272179, 22922255","10802508, 10800916, 10799902, 10799553, 10795475, 10794237, 10790702, 10785702, 10785534, 10779485, 10777093, 10773624, 10772551, 10770137, 10763188, 10758991, 10747268, 10747232, 10746178, 10744307, 10795475, 10794237, 10790702, 10785534, 10777093, 10772551, 10747268, 10746178, 10741940, 10734528, 10734470, 10730444, 10729682, 10719069, 10716368, 10714824, 10714804, 10714774, 10714645, 10708520"
"33396408, 38176897, 38144564, 37878335, 37543249, 37214215, 37202387, 36644501, 36556399, 35784364, 35750016, 35733766, 35631304, 35587004, 35415672, 35128957, 34847376, 34463231, 34447287, 34253752, 33786436","10800157, 10798865, 10798365, 10797776, 10796311, 10795779, 10795475, 10794624, 10794557, 10793686, 10793679, 10791026, 10790632, 10786629, 10785015, 10782407, 10780906, 10780434, 10779516, 10779093, 9994512, 8527133, 10527190, 10526746, 10525885, 10524266, 10523759, 10504180, 10498782, 10497313, 10494327, 10493557, 10492847, 10489354, 10487440, 10486307, 10484231, 10481871, 10477901, 10471993, 10524266, 10493557, 10491976, 10484231, 10436623, 10435389, 10432828, 10423824, 10421146, 10373267, 10355691, 10353503, 10290424, 10268008, 10230642, 10213106, 10504119, 8415294, 10455619, 10453987"
"38014110, 37398220, 37365468, 37285432, 37172777, 36976297, 36789089, 36698068, 36313803, 36187259, 35475000, 35042474, 34993942, 34366541, 32717786, 32692912, 32383753, 32303261, 32281982, 32178550, 38260318, 38243373, 38243306, 38238158, 38218939, 38217716, 38170778, 38152895, 38142637, 38129447, 38114489, 38102537, 38083579, 38082668, 38066073, 38014263, 38014110, 37981052, 37979921, 37844473","10801111, 10800578, 10800310, 10800300, 10800207, 10800157, 10799925, 10798365, 10797776, 10797657, 10796980, 10796650, 10796354, 10795779, 10795475, 10794845, 10794624, 10794557, 10794555, 10794526"
"38251657, 38239248, 38201610, 38191437, 38190579, 38179750, 38155543, 38146608, 38130549, 38108390, 38108373, 38001742, 37916344, 37907018, 37893479, 37778272, 37738679, 37697033, 37689039, 37565277, 38255317, 38251657, 38248029, 38243963, 38242989, 38239248, 38234398, 38233195, 38219707, 38205326, 38202141, 38201610, 38193866, 38191610, 38191437, 38190579, 38186680, 38186453, 38179750, 38176309, 38078963, 37849254, 37720428, 37681031, 37573035, 37568650, 37510211, 37042152, 37003074, 36811859, 36742014, 36630898, 36544760, 36528470, 36382087, 36334496, 36225625, 36119532, 35938631, 35621626","10800207, 10800157, 10798911, 10796730, 10796567, 10795779, 10795475, 10794624, 10794557, 10794555, 10793679, 10790632, 10790211, 10789024, 10785269, 10783791, 10782214, 10780763, 10780634, 10780463"
"38129234, 38101218, 37986944, 37862431, 37771591, 37709986, 37704621, 37586767, 37561398, 37528458, 37315535, 37172581, 36798389, 36720219, 36580918, 36472588, 36350986, 36171288, 36122933, 36026513, 38169329, 38091951, 37844197, 37738974, 37737298, 37712442, 37625402, 37553428, 37350632, 37322116, 37161048, 36988342, 36758176, 35738329, 35691410, 35514970, 35470232, 35154905, 35053490, 34873490","10801516, 10801111, 10800300, 10800207, 10800091, 10798865, 10797776, 10797652, 10796730, 10796567, 10796354, 10795779, 10795475, 10794557, 10794555, 10793679, 10791998, 10791026, 10790632, 10790211"
"38009957, 37890080, 37515211, 37513003, 37218816, 37042671, 36951547, 36851500, 36639816, 36557677, 36517053, 36466675, 36464065, 36399658, 36343261, 36326101, 36244146, 36009001, 35948266, 35783604, 37429362, 37067276, 35758692, 34708158, 34016512, 32223302, 32204475, 32039379, 31630331, 31384000, 30791956, 30529464, 29286416, 27555307, 26425084, 25275396, 24586892, 22854321, 22753379, 21118402, 38169859, 38157864, 38157106, 38023855, 38018992, 37823635, 37773207, 37515965, 37458142, 37378961, 37317652, 37310733, 37046762, 37027929, 36882224, 36672796, 36291121, 36047038, 35954875, 35889107","10801516, 10801111, 10800578, 10800300, 10800207, 10800157, 10799925, 10798865, 10798365, 10797776, 10796567, 10796354, 10795779, 10795475, 10794624, 10794557, 10794555, 10794526, 10793686, 10793679, 9994512, 10534035, 10530753, 10527190, 10526746, 10526165, 10523759, 10507713, 10502305, 10497313, 10493557, 10491976, 10491915, 10487966, 10487633, 10487082, 10486298, 10481537, 10478010, 10476393, 9782203, 9548122, 9546826, 9550512, 9531436, 9542864, 9542427, 9523894, 9526137, 9551995, 9551612, 9532165, 9549250, 9549136, 9527826, 9519015, 9511723, 9537701, 9540502, 9539765, 9994512, 10534035, 10530753, 10527190, 10526746, 10526165, 10523759, 10518632, 10508614, 10507713, 10506414, 10502305, 10498776, 10497313, 10493557, 10491976, 10491915, 10487966, 10487633, 10487082"
"38257988, 38257834, 38257809, 38257799, 38257762, 38240578, 38239028, 38236818, 38231218, 38230877, 38228603, 38187747, 38181740, 38178369, 38177994, 38172339, 38171848, 38168363, 38152703, 38140687, 38260415, 38257721, 38234449, 38214519, 38206524, 38194254, 38193669, 38159122, 38149011, 38142823, 38140696, 38139217, 38137966, 38128262, 38073886, 38066374, 38066362, 38060122, 38053255, 38048838","8913379, 8167034, 7103267, 10801516, 10801111, 10800578, 10800300, 10800207, 10800157, 10800091, 10799925, 10798911, 10798865, 10798365, 10797776, 10797657, 10797652, 10796650, 10796631, 10796567, 10796354, 10795779, 10795475, 10801615, 10800934, 10797190, 10796079, 10790724, 10789336, 10786745, 10786672, 10785358, 10784484, 10782699, 10781419, 10778979, 10776017, 10775659, 10773122, 10772147, 10771305, 10770536, 10767590"
"38235618, 38222194, 38218041, 38212892, 38188481, 38173302, 38172499, 38168015, 38152582, 38115336, 38110346, 38108823, 38103888, 38099497, 38092728, 38086335, 38084548, 38075206, 38058033, 38056921, 38226186, 37940770, 37608427, 37481754, 37386324, 37352862, 37285266, 37268174, 37240418, 37067391, 36995458, 36791563, 36765798, 36748436, 36733002, 36689097, 36646615, 36404497, 36372896, 36049836, 38171081, 38142627, 38125789, 38115331, 38091082, 38074478, 38039617, 38031161, 38030281, 37953374, 37951531, 37914154, 37900850, 37890269, 37886914, 37883950, 37866661, 37762979, 37740637, 37668410","10800207, 10800196, 10790789, 10790632, 10788454, 10785930, 10778579, 10777963, 10774140, 10773537, 10767372, 10766654, 10761154, 10758498, 10756490, 10758001, 10755968, 10746345, 10742859, 10741644, 10800207, 10800196, 10777963, 10726411, 10725898, 10800223, 10764597, 10704251, 10658505, 10643376, 10473000, 10367526, 10355325, 10354582, 10315540, 10631674, 10276992, 10618422, 10608236, 10585738"
"38247094, 38175383, 38155448, 38093305, 38077052, 38000679, 37964706, 37962682, 37918013, 37900797, 37871463, 37853375, 37753035, 37749564, 37745574, 37740071, 37716506, 37676090, 37583001, 37552455, 38124373, 38077052, 38000679, 37964706, 37937226, 37902531, 37886914, 37882182, 37871463, 37745574, 37641830, 37583001, 37347353, 37325467, 37318097, 37298570, 37252460, 37240039, 37239344, 37143312, 38254772, 38234398, 38205077, 38200410, 38194971, 38187388, 38185557, 38185290, 38183539, 38156547, 38148328, 38133666, 38110279, 38085001, 38058823, 38056867, 38053280, 38042958, 38022667, 38022513","10796567, 10785015, 10778484, 10771111, 10767319, 10766654, 10766425, 10749279, 10745050, 10740415, 10734470, 10716304, 10716256, 10706695, 10705213, 10700720, 10796267, 10794348, 10791971, 10781727"
"37926289, 37773951, 37608768, 37160919, 37074710, 36918961, 36698146, 36552852, 35736613, 35477286, 35410233, 34670619, 34134620, 34081399, 34059668, 33986744, 33906500, 33504454, 33353204, 33005629, 37803789, 37674059, 37553333, 37372086, 37316482, 37195665, 37083182, 37061790, 36985533, 36985325, 36575246, 37850127, 35379564, 35192333, 34746986, 34188048, 34081399, 33996285, 33756190, 33737410, 38258019, 38240740, 38178003, 38156000, 38117845, 38115005, 38091365, 38056648, 38049850, 38017392, 37951952, 37915946, 37902877, 37894178, 37883976, 37882672, 37854058, 37843794, 37787393, 37732806","10803166, 10801516, 10800401, 10800207, 10800157, 10798864, 10796567, 10796354, 10795475, 10790632, 10790211, 10787309, 10786629, 10785269, 10779047, 10778640, 10778593, 10778587, 10778579, 10778076, 10803166, 10801516, 10801111, 10800310, 10800207, 10800157, 10800091, 10798911, 10798867, 10798865, 10798864, 10798365, 10797776, 10797652, 10796980, 10796567, 10796354, 10795475, 10795375, 10794815"
"36764966, 36552107, 35652247, 34158656, 34089599, 33180910, 32271980, 31325458, 30518964, 30500531, 30487533, 30449620, 15063009, 12475394, 12196110, 11853547, 11327762, 10746767, 9846757, 9791090, 37678442, 36791202, 36764966, 34671320, 34158656, 34089599, 32271980, 32036693, 30518964, 30500531, 30487533, 30449620, 29057588, 28485065, 27634066, 27224272, 26269236, 25904310, 25217372, 25004095, 38260337, 38231857, 38231762, 38231708, 38216747, 38130897, 38113985, 38081543, 38068820, 38047304, 38042372, 38041774, 38038705, 38035766, 38030809, 38008189, 38003140, 37993711, 37992155, 37984611","10795475, 10794624, 10794557, 10794555, 10794526, 10791998, 10780463, 10779203, 10779093, 10771839, 10766654, 10766395, 10763409, 10763188, 10758498, 10746484, 10746067, 10745772, 10745369, 10744307"
"38260869, 38245637, 38240984, 38240209, 38239365, 38234006, 38231200, 38217033, 38200763, 38199482, 38194829, 38187371, 38181526, 38177086, 38171427, 38169639, 38163557, 38151490, 38140300, 38137976, 38225709, 38195757, 38176897, 38157351, 38145852, 38113752, 38086007, 38048879, 38037542, 38012477, 37944871, 37902616, 37900123, 37827341, 37814787, 37805946, 37781872, 37777004, 37727634, 37713114, 38257853, 38257071, 38256336, 38255668, 38254294, 38254254, 38252923, 38248822, 38246446, 38238339, 38237669, 38231614, 38226325, 38220216, 38201860, 38201107, 38200864, 38199972, 38185280, 38181601, 38239194, 38213102, 38151022, 38147943, 38132283, 38129058, 38129008, 38114152, 38105432, 38100549, 38087025, 38072293, 38053727, 38024872, 37995390, 37982821, 37981958, 37977404, 37929761, 37919522","10801516, 10801111, 10800401, 10800207, 10800157, 10799834, 10799563, 10798865, 10798370, 10797776, 10797652, 10796730, 10796631, 10796567, 10795779, 10795475, 10794815, 10794624, 10794557, 10794555, 10792149, 10727519, 10798863, 10715516, 10707401, 10644995, 10559359, 10505932, 10455067, 10441563, 10434845, 10417294, 10354965, 10669373, 10651341, 10626019, 10624322, 10267473, 10247274, 10613338, 10246847, 10064692, 9036297, 7972945, 7672684, 6159892, 4669991, 4592148, 10800300, 10798865, 10797776, 10786686, 10785015, 10778654, 10773624, 10770264, 10770137, 10766395, 10763643, 10746178, 10745772, 10743570, 10739899, 10734524, 10734492, 10730162, 10730149, 10721521"
"38250763, 38241178, 38215360, 38204451, 38204447, 38200573, 38200411, 38172446, 38118368, 38106287, 38097539, 38065409, 38062430, 38039962, 38019590, 38017473, 38014700, 37999809, 37989416, 37985722, 38252058, 38233948, 38220020, 38191517, 38187747, 38183754, 38178369, 38172281, 38159123, 38139356, 38139153, 38133321, 38128454, 38102298, 38096814, 38075897, 38061277, 38060122, 38057920, 38051048, 38195495, 38179042, 38151037, 38140723, 38128397, 38126951, 38108203, 38060238, 38055375, 38032175, 38020192, 38018771, 37999912, 37929952, 37882039, 37812215, 37792307, 37789170, 37775724, 37775601","10801111, 10800207, 10800196, 10800157, 10800089, 10799925, 10797776, 10796631, 10796567, 10795475, 10794815, 10794624, 10794557, 10794526, 10794235, 10791026, 10785269, 10783791, 10782214, 10780906"
"38232140, 38183614, 38114968, 38089944, 37647637, 37636573, 37542123, 37368932, 37294305, 37237815, 37234511, 37173423, 36917195, 36733389, 36726959, 36705593, 36695173, 36644740, 36345854, 36286982, 38257885, 38257256, 38256916, 38228935, 38202855, 38202632, 38192289, 38185395, 38184513, 38182334, 38179447, 38178639, 38165983, 38157688, 38152911, 38147233, 38145709, 38138964, 38137996, 38137382","10729249, 10706046, 10722724, 10618409, 10580657, 10498782, 10391685, 10342944, 10605530, 10354730, 10296259, 10295452, 10229359, 10093281, 10058801, 10182130, 10049459, 10015535, 9996308, 9957889"
"38254567, 38249458, 38246384, 38246077, 38239731, 38239215, 38237464, 38229154, 38225342, 38219995, 38203833, 38202388, 38201113, 38199463, 38199002, 38197657, 38194134, 38190904, 38190873, 38188657, 38260076, 38259281, 38258376, 38257850, 38256037, 38254941, 38254447, 38254181, 38253195, 38246373, 38243750, 38242234, 38239846, 38238389, 38236693, 38236025, 38235358, 38234846, 38233814, 38232812, 37962470, 37653339, 37593224, 37546756, 37438989, 37245767, 37167952, 37002975, 36987098, 36942744, 36609873, 36444889, 36179671, 36008672, 35909010, 35883674, 35640890, 35519822, 35382490, 35338210","10801111, 10800578, 10800310, 10800300, 10800207, 10800157, 10799925, 10798365, 10797776, 10797657, 10796980, 10796650, 10796354, 10795779, 10795475, 10794845, 10794624, 10794557, 10794555, 10794526, 10715465, 10740682, 10579100, 10495745, 10663641, 10644909, 10623427, 10300525, 10290154, 10277291, 10228652, 10252902, 10177356, 10166832, 10107179, 9995591, 9980002, 9962967, 9890194, 9825672"
"38172339, 37654670, 36700195, 36059482, 35969834, 35511399, 35488106, 35460929, 34987741, 34777363, 34653248, 34274493, 34249005, 34043764, 33845259, 32801142, 32793207, 32793150, 32765499, 32682948, 38066845, 38065767, 38044071, 37764025, 37596535, 37480848, 37386935, 37352262, 37342922, 37311510, 37301257, 37244644, 37121094, 37087694, 37022173, 36997482, 36966873, 36941654, 36819591, 36794370, 38018321, 37890379, 37779681, 37775597, 37408450, 36699432, 36350750, 36052416, 35696020, 35681653, 35173989, 34695229, 34385892, 34342300, 34334382, 34043764, 33986499, 33767400, 33514924, 33483877","10801111, 10800578, 10800310, 10800300, 10800207, 10800157, 10799925, 10798862, 10798365, 10797776, 10797657, 10796980, 10796730, 10796650, 10796354, 10795779, 10795475, 10794624, 10794557, 10794555"
"38260336, 38251688, 38250325, 38248311, 38247827, 38246002, 38244773, 38243600, 38242867, 38242769, 38240892, 38239352, 38234396, 38231165, 38226976, 38226974, 38225288, 38221520, 38217977, 38217590, 38215900, 38164756, 38147209, 38111016, 38090585, 38023726, 37908732, 37727784, 37607971, 37522861, 37188395, 37156551, 37145278, 37047500, 37033987, 37019470, 36961507, 36933554, 36914208, 36900382, 37541134, 36428578, 35960818, 34977677, 34467251, 34058386, 32492858, 31182835, 9015215, 34467251","10801516, 10801111, 10800300, 10800207, 10800157, 10800091, 10798865, 10797776, 10797652, 10796980, 10796567, 10796354, 10795779, 10795475, 10794557, 10794555, 10794526, 10793679, 10791998, 10791026, 10800310, 10800207, 10800157, 10795779, 10794557, 10791998, 10786629, 10779964, 10779093, 10778484, 10778076, 10773886, 10773633, 10772586, 10770264, 10770169, 10770137, 10763846, 10763794, 10763643, 10800300, 10800157, 10799925, 10799834, 10797776, 10796631, 10796567, 10795779, 10795475, 10794557, 10793686, 10793679, 10790632, 10789030, 10786686, 10786629, 10783791, 10781698, 10780906, 10780763, 10526165, 10518632, 10508614, 10502305, 10495543, 10495347, 10494839, 10494561, 10493557, 10491915, 10487082, 10486298, 10484231, 10481537, 10478010, 10469825, 10469711, 10459712, 10456142, 10454611"
"38140602, 37988467, 37623434, 36871192, 36761777, 34767456, 33092214, 30336982, 29953499, 29382759, 28436935, 28052131, 29263897, 27068814, 26981201, 26043155, 25982276, 24200242, 23827971, 23632891, 38246265, 38241502, 38241362, 38218422, 38216101, 38199194, 38199193, 38197985, 38195569, 38166582, 38165941, 38155268, 38142068, 38140602, 38134593, 38101018, 38098360, 38098267, 38062041, 38043934, 38216551, 38123979, 38111016, 38042584, 37937842, 37904191, 37828002, 37788104, 37731616, 37604640, 37542037, 37527761, 37503215, 37486206, 37441266, 37388243, 37344596, 37327788, 37258040, 37256936","10803162, 10802926, 10802069, 10801670, 10801604, 10801555, 10801329, 10801200, 10801111, 10801034, 10801022, 10800916, 10800846, 10800808, 10800578, 10800401, 10800390, 10800374, 10800310, 10800300"
