PubMed_IDs_TP,PMC_IDs_TP
"38092785, 37948972, 37868983, 37863310, 37843357, 37798858, 37654668, 37645558, 37631968, 37629267, 37612691, 37582478, 37567514, 37548272, 37534607, 37422093, 37345467, 37335757, 37287986, 37263112, 38249451, 38172680, 38172612, 38135686, 38128432, 38126100, 38093014, 38034050, 38004128, 37997887, 37893576, 37848036, 37842470, 37834270, 37781374, 37743871, 37686834, 37675346, 37642987, 37629267","10802810, 10802234, 10802158, 10802103, 10801732, 10801662, 10801599, 10801111, 10801022, 10800980, 10800970, 10800846, 10800824, 10800775, 10800726, 10800578, 10800556, 10800509, 10800390, 10800374"
"38110339, 38088801, 38052315, 37992307, 37975051, 37972696, 37970230, 37954608, 37949208, 37875903, 37828979, 37824079, 37803436, 37782797, 37766337, 37704621, 37697097, 37691941, 37661675, 37646869, 38166628, 37962205, 37949208, 37946314, 37855738, 37842002, 37828979, 37696797, 37648857, 37422501, 37085045, 37081490, 37006463, 36993971, 36930164, 36930090, 36916398, 36846018, 36567548, 36565644, 38224627, 38216949, 38207230, 38181823, 38167649, 38112969, 38079221, 38075690, 38063845, 38063089, 38058069, 38040978, 38030304, 38023136, 38012650, 37956488, 37899130, 37872660, 37839277, 37828860","10803162, 10802843, 10802180, 10802033, 10801734, 10801633, 10801599, 10801516, 10800605, 10800578, 10800401, 10800382, 10800327, 10800300, 10800231, 10800091, 10800041, 10799947, 10799902, 10799834, 10803162, 10801660, 10801599, 10801516, 10801200, 10801111, 10801052, 10800605, 10800578, 10800513, 10800310, 10800300, 10800207, 10800157, 10800091, 10799955, 10799902, 10799778, 10799464, 10799412, 10795475, 10769428, 10766350, 10746178, 10740415, 10734470, 10732497, 10724598, 10709690, 10689341, 10802977, 10796267, 10778732, 10754383, 10745558, 10740531, 10725932, 10711513, 10706872, 10697505"
"35031299, 32380746, 32286299, 31416242, 8586775, 37797731, 37374105, 37055935, 37006935, 36051659, 35742829, 35165232, 35057008, 35031299, 34702603, 34530175, 33947752, 33748630, 33518513, 33442738, 33209199, 33201276, 32908642, 32581844, 32151767","10799778, 10779133, 10773723, 10762467, 10762314, 10750390, 10743890, 10742434, 10732497, 10730181, 10724598, 10723274, 10722742, 10718154, 10714758, 10713841, 10712442, 10706695, 10704910, 10703043"
"38242197, 38231484, 37725755, 37520719, 37395148, 37041757, 35883572, 35530162, 35398966, 34650057, 34557219, 34459091, 33738257, 33610718, 33436794, 33143149, 33131349, 28683909, 28473332, 28260989, 38256056, 38254641, 38252699, 38243928, 38236508, 38233795, 38231910, 38228803, 38225233, 38218012, 38216672, 38215891, 38212977, 38205284, 38204220, 38203603, 38201556, 38201286, 38200582, 38197493","10801516, 10801111, 10800578, 10800310, 10800300, 10800207, 10800157, 10800091, 10799925, 10798911, 10798865, 10798862, 10798365, 10797776, 10797657, 10797652, 10796980, 10796730, 10796650, 10796567"
"37547381, 36792221, 36497431, 36179904, 35241937, 35238645, 35119146, 34348164, 33432636, 33418900, 32781547, 32540887, 32032568, 30975204, 30390464, 30170169, 30008596, 29943947, 29501452, 29293564","10801516, 10801111, 10800578, 10800310, 10800300, 10800207, 10800091, 10798865, 10797776, 10797657, 10797652, 10796730, 10796567, 10795475, 10794624, 10794557, 10794555, 10791998, 10791026, 10790515"
"34599932, 38127229, 38078890, 37946177, 37897814, 36831485, 36821972, 36346580, 35857791, 35453482, 35197283, 35005770, 34822318, 34808241, 34769468, 34722158, 34709991, 34599932, 34094947, 34030589, 33964350","10801516, 10801111, 10800578, 10800310, 10800300, 10800207, 10800157, 10800091, 10799925, 10798911, 10798865, 10798862, 10798365, 10797776, 10797657, 10797652, 10796980, 10796730, 10796650, 10796567"
"37152929, 37091842, 35820577, 35489715, 35437952, 35420126, 34959754, 34394117, 33577920, 33522396, 33180143, 32998095, 32949677, 32823827, 32569680, 32231641, 32063861, 31853951, 31666597, 31623375, 23051967, 38259353, 38258780, 38257283, 38257159, 38257154, 38254330, 38253522, 38249557, 38248762, 38248642, 38245058, 38243197, 38242133, 38241565, 38238451, 38236135, 38234376, 38233951, 38233383, 38232577","10801516, 10800578, 10800300, 10800196, 10800157, 10800089, 10799925, 10799834, 10798365, 10796631, 10796567, 10794845, 10794815, 10794624, 10794557, 10794555, 10794526, 10794235, 10793686, 10793679"
"37095682, 37058886, 36998085, 36879117, 35736427, 35437333, 34502456, 33937026, 33910163, 33556332, 33492552, 33401758, 32023458, 31042485, 29514096, 28946040, 27138454, 38260602, 38258906, 38258686, 38257851, 38257292, 38254678, 38254456, 38253650, 38251638, 38249593, 38247489, 38245781, 38245637, 38245585, 38244515, 38243887, 38243250, 38241436, 38240388, 38240302","10800157, 10790212, 10787254, 10779485, 10765048, 10763231, 10763173, 10757668, 10752588, 10746442, 10746270, 10734482, 10734476, 10720322, 10719066, 10716700, 10706695, 10692735, 10691087, 10690197, 10800157, 10790212, 10787254, 10779485, 10765048, 10763231, 10763173, 10757668, 10752588, 10746442, 10746270, 10745698, 10734482, 10734476, 10731274, 10721710, 10720322, 10719066, 10716700, 10706695"
"38228603, 38163063, 38031010, 38004715, 37893576, 37868100, 37790477, 37456520, 37333851, 37277934, 37217829, 37185870, 36713167, 36671391, 36350127, 36286976, 36246273, 36195943, 36192756, 36118230","10793665, 10773723, 10763180, 10745069, 10732497, 10715876, 10714990, 10708240, 10689341, 10800977, 10778133, 10767002, 10758782, 10741010, 10688786, 10685252, 10685249, 10648159, 10577587, 10563694, 10758498, 10747232, 10714990, 10703168, 10700415, 10696524, 10692395, 10691800, 10688821, 10799147, 10791167, 10778721, 10740959, 10730214, 10688832, 10688826, 10674632, 10658497, 10648191, 10644338"
"38259389, 38258906, 38258020, 38257863, 38255916, 38255150, 38248835, 38247868, 38246590, 38244236, 38241751, 38238335, 38233198, 38227799, 38226896, 38225565, 38219386, 38203843, 38203747, 38203712","10795475, 10794784, 10784727, 10779796, 10772324, 10766350, 10760375, 10759657, 10758498, 10734524, 10733439, 10724443, 10724020, 10719430, 10719222, 10713585, 10712880, 10705482, 10694226, 10797971"
